Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Примаченко,Спас,Дмитрович,Чоловіча,2000-09-02,Графік,селище Алмазна,"парк Асташкіна, буд. 5 кв. 5, Бучач, 17893",+380 14 204-52-11,jshvaika@example.com
Тесля,Станіслав,Романович,Чоловіча,1980-04-17,Реставратор,місто Комарно,"узвіз Лютнева, буд. 9 кв. 697, Сміла, 72337",209 55 98,iaroslavpiddubna@example.org
Жайворон,Костянтин,Григорович,Чоловіча,2006-07-07,Круп'є,хутір Вільногірськ,"площа Бреуса, буд. 75, Сулимівка (Слов'янськ), 38568",070 165 77 40,marko79@example.org
Бабич,Симон,Євгенович,Чоловіча,1959-11-02,Доцент,хутір Іршава,"шосе Артилерійська, буд. 802, Новоукраїнка, 97699",+380 57 906 88 97,iefrem17@example.com
Власенко,Камілла,Олегівна,Жіноча,2003-10-18,Каскадер,місто Батурин,"провулок Орловська, буд. 9, Миронівка, 60592",+380 34 990-11-53,illia43@example.org
Деркач,Леонід,Григорович,Чоловіча,1947-03-03,Філолог,хутір Білозерське,"проспект Лодочний, буд. 71, Святогірськ, 76873",293-76-99,jveres@example.com
Дубина,Дарина,Іванівна,Жіноча,2006-07-11,Журналіст,хутір Молочанськ,"площа Газовий, буд. 9 кв. 40, Скадовськ, 23332",+380 66 062 10 05,symonenkoavhustyn@example.net
Павлик,Зиновій,Володимирович,Чоловіча,1970-03-16,Секретар,село Перемишляни,"провулок Кримський, буд. 72, Красноперекопськ, 07483",+380 (18) 791-85-70,milenaatroshchenko@example.com
Цюпа,Онисим,Олександрович,Чоловіча,1961-05-08,Хореограф,селище Красноперекопськ,"сквер Гвардійська, буд. 64, Славута, 40336",086 368 21 90,stanislav61@example.org
Бандурка,Онисим,Олегович,Чоловіча,2006-10-16,Архітектор,хутір Кролевець,"провулок Докова, буд. 94 кв. 062, Білицьке, 84766",069 127 32 29,vvatamaniuk@example.net
Цимбал,Валентина,Євгенівна,Жіноча,1976-03-20,Електротехнік,селище Городище ,"вулиця Тракторна, буд. 73, Бершадь, 49345",078 139 69 67,danmishchenko@example.org
Перебийніс,Гордій,Володимирович,Чоловіча,1940-08-02,Ді-джей,хутір Валки ,"шосе Маршала Говорова, буд. 51, Іршава, 20672",020 822-03-83,albina65@example.com
Артюшенко,Анжела,Романівна,Жіноча,1985-10-20,Дизайнер,місто Жовті Води,"шосе Бориса Дерев'янка, буд. 8 кв. 376, Бучач, 94389",+380 51 125 93 23,irena42@example.com
Піддубний,Кирило,Іванович,Чоловіча,1952-05-24,Модель,хутір Кіцмань,"вулиця Крилова, буд. 9 кв. 5, Конотоп, 86931",+380 91 541-43-88,oleksandr81@example.net
Єсипенко,Михайло,Богданович,Чоловіча,1967-06-24,Менеджер,селище Берестечко,"провулок Михайлівська, буд. 650, Хрустальний, 54471",598 82 82,pzhadan@example.org
Ісаєнко,Ярина,Федорівна,Жіноча,1981-04-27,Ді-джей,місто Олевськ,"шосе Пересипський 2-й, буд. 205, Радехів, 92591",+380 38 249 35 22,udanchuk@example.net
Гузенко,Ліза,Андріївна,Жіноча,1974-05-21,Кур'єр,село Новомосковськ,"парк Локомотивний 4-й, буд. 7, Нове Давидково, 28711",071 671 04 19,romanchuknadiia@example.org
Шевченко,Ірина,Григорівна,Жіноча,1942-07-05,Конструктор,село Роздільна,"набережна Юннатів, буд. 240 кв. 58, Красноперекопськ, 52050",+380 81 682 58 93,sperebyinis@example.org
Романець,Зорян,Юрійович,Чоловіча,1983-09-29,Кухар,село Мукачево,"провулок Східчастий 4-й, буд. 6 кв. 5, Івано-Франківськ, 87525",+380 46 351-65-54,frantsbaidak@example.net
Величко,Богдан,Романович,Чоловіча,1996-04-18,Мінералог,селище Бахчисарай,"узвіз Танкістів, буд. 20 кв. 1, Федорівка, 06250",+380 (07) 396-43-21,ytsisyk@example.com
Овсієнко,Клавдія,Віталіївна,Жіноча,1961-12-01,Дерун,село Герца,"вулиця Саксаганського, буд. 35, Карлівка, 17999",+380 18 248-94-16,orkhypopanasenko@example.org
Лесик,Трохим,Володимирович,Чоловіча,1997-11-22,Хореограф,хутір Чернігів,"шосе Мацієвської, буд. 10 кв. 8, Сіверськ, 28281",015-10-02,edytastus@example.org
Батіг,Василь,Іванович,Чоловіча,1955-02-04,Будник,селище Ямпіль,"узвіз 13-та ст. Великого Фонтану пляж, буд. 691, Тлумач, 29990",787-50-12,ievtushenkomarusia@example.org
Пушкар,Аліна,Михайлівна,Жіноча,1984-12-23,Бухгалтер,селище Чернівці,"площа Палія Семена, буд. 5, Корюківка, 30592",455 28 73,mykhailynachornovil@example.net
